property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,active
65224061,1 bed flat to rent,1700,https://www.zoopla.co.uk/to-rent/details/65224061/,"Arber House, Greenleaf Walk UB1",Regent Letting & Property Management Ltd,1,1,10,0,0,0.526,10,0.363,10,0.48,20,0.436,10,1
65226615,3 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/65226615/,"Pendle Road, London SW16",Whiteford Properties,3,1,9,0,2,0.48,9,0.49,9,0.68,9,0.68,9,1
65227041,3 bed semi-detached house to rent,2400,https://www.zoopla.co.uk/to-rent/details/65227041/,"Broomhill Road, Orpington BR6",Andrews - Orpington,3,1,11,0,2,0.47818181818181815,11,0.32545454545454544,11,0.884,22,0.40090909090909094,11,1
65233885,2 bed terraced house to rent,3000,https://www.zoopla.co.uk/to-rent/details/65233885/,"Bergholt Mews, London NW1",Hotblack Desiato,2,1,10,1,4,0.48,10,0.28,10,0.85,10,0.77,10,1
65235804,2 bed flat to rent,3445,https://www.zoopla.co.uk/to-rent/details/65235804/,"Canfield Gardens, South Hampstead, London NW6",Rose & Co,2,1,5,1,2,0.54,6,0.48,6,0.64,6,0.57,6,1
65237096,2 bed flat to rent,3700,https://www.zoopla.co.uk/to-rent/details/65237096/,"Sopwith Way, London SW11",Orlando Reid Ltd,2,1,10,1,3,0.57,11,0.29,11,0.67,11,0.55,11,1
65237292,3 bed maisonette to rent,2650,https://www.zoopla.co.uk/to-rent/details/65237292/,"Oxford Gardens, London W4",Tigo Sales and Letting,3,1,5,0,0,0.396,5,0.158,5,0.657,10,0.44800000000000006,5,1
65237350,1 bed flat to rent,1975,https://www.zoopla.co.uk/to-rent/details/65237350/,"Alexandra Road, Wimbledon, London SW19",Savills - Wimbledon Lettings,1,1,10,1,2,0.502,10,0.402,10,0.723,20,0.455,10,1
65238963,3 bed flat to rent,4767,https://www.zoopla.co.uk/to-rent/details/65238963/,"Mount Street, Mayfair, London W1K",Vesper Group,3,1,15,1,9,0.43,15,0.35,15,0.59,15,0.47,15,1
65239044,3 bed flat to rent,2900,https://www.zoopla.co.uk/to-rent/details/65239044/,"Clarence Crescent, London SW4",Ash Ponsonby Estate Agents,3,1,17,1,8,0.49,18,0.26,18,0.74,18,0.5,18,1
65242686,1 bed flat to rent,1750,https://www.zoopla.co.uk/to-rent/details/65242686/,"Windmill Lane, Hanwell, London UB2",Barnard Marcus - Ealing,1,1,5,1,1,0.46,5,0.27,5,0.33,5,0.44,5,1
65245522,1 bed flat to rent,3150,https://www.zoopla.co.uk/to-rent/details/65245522/,"Rosemary Apartments, Royal Mint Gardens E1",Regent Letting & Property Management Ltd,1,1,5,1,1,0.54,5,0.41,5,0.58,5,0.56,5,1
65246732,2 bed flat to rent,4200,https://www.zoopla.co.uk/to-rent/details/65246732/,"Conquest Tower, Blackfriars, Road SE1",Regent Letting & Property Management Ltd,2,1,7,1,2,0.54,7,0.24,7,0.63,7,0.39,7,1
65247409,3 bed flat to rent,6800,https://www.zoopla.co.uk/to-rent/details/65247409/,"Strand, London WC2R",LiFE Residential - Nine Elms Riverside,3,1,16,1,7,0.5,17,0.39,17,0.52,17,0.58,17,1
65247456,Room to rent,500,https://www.zoopla.co.uk/to-rent/details/65247456/,"Dovercourt Avenue, Thornton Heath, Surrey CR7",Gordon Blair,1,1,5,1,3,0.48,5,0.43,5,0.82,5,0.44,5,1
65250580,1 bed flat to rent,2200,https://www.zoopla.co.uk/to-rent/details/65250580/,"Halton Road, Islington, London N1",Sanders Property Ltd,1,1,15,1,4,0.47,15,0.37,15,0.64,15,0.41,15,1
65256488,3 bed flat to rent,3298,https://www.zoopla.co.uk/to-rent/details/65256488/,"36C English Street, Bow, London E3",Global House Estates,3,1,6,1,3,0.52,6,0.52,6,0.77,6,0.53,6,1
65258702,2 bed terraced house to rent,3250,https://www.zoopla.co.uk/to-rent/details/65258702/,"Tottenham Road, London N1",Savills - Islington Lettings,2,1,8,1,2,0.46,8,0.25,8,0.66,8,0.59,8,1
65259279,3 bed flat to rent,5417,https://www.zoopla.co.uk/to-rent/details/65259279/,"Monck Street, Westminster SW1P",Chestertons - Westminster & Pimlico,3,1,9,1,3,0.44,9,0.23,9,0.46,9,0.47,9,1
65265744,1 bed flat to rent,1650,https://www.zoopla.co.uk/to-rent/details/65265744/,"West Parkside, London SE10",1st Avenue,1,1,8,1,4,0.49,8,0.21,8,0.79,8,0.53,8,1
65269390,2 bed terraced house to rent,2500,https://www.zoopla.co.uk/to-rent/details/65269390/,"Audric Close, Kingston Upon Thames KT2",Martin & Co Kingston,2,1,5,0,0,0.44,5,0.22,5,0.74,5,0.86,5,1
65272825,3 bed flat to rent,4658,https://www.zoopla.co.uk/to-rent/details/65272825/,"York Way, London N1C",Berkshire Hathaway HomeServices Kings Cross,3,1,9,1,3,0.48444444444444446,9,0.3088888888888889,9,0.738,18,0.26,9,1
65274106,1 bed flat to rent,2700,https://www.zoopla.co.uk/to-rent/details/65274106/,"Crispin Street, London E1",LiFE Residential - North & City,1,1,9,1,2,0.471,9,0.205,9,0.67,18,0.613,9,1
65279354,3 bed flat to rent,3500,https://www.zoopla.co.uk/to-rent/details/65279354/,"Villiers Road, Willesden Green NW2",Chestertons - Hampstead,3,1,12,1,6,0.5033333333333333,12,0.29250000000000004,12,0.475,24,0.48500000000000004,12,1
65281483,3 bed semi-detached house to rent,2750,https://www.zoopla.co.uk/to-rent/details/65281483/,"Iveagh Avenue, London NW10",Majestic Properties,3,1,19,1,4,0.48,19,0.25,19,0.74,19,0.56,19,1
65281499,2 bed terraced house to rent,2650,https://www.zoopla.co.uk/to-rent/details/65281499/,"Watts Lane, Teddington TW11",Tenant Finder,2,1,6,1,2,0.5,7,0.28,7,0.84,7,0.53,7,1
65283892,2 bed flat to rent,2350,https://www.zoopla.co.uk/to-rent/details/65283892/,"Holdenby Road, London SE4",Home 2 U,2,1,6,0,1,0.53,6,0.18,6,0.75,6,0.42,6,1
65285183,3 bed flat to rent,8667,https://www.zoopla.co.uk/to-rent/details/65285183/,"Monck Street, Westminster SW1P",Chestertons - Westminster & Pimlico,3,1,9,1,3,0.44,9,0.23,9,0.48,9,0.46,9,1
65288688,3 bed flat to rent,4500,https://www.zoopla.co.uk/to-rent/details/65288688/,"Wimbledon Park Side, Wimbledon SW19",Fuller Gilbert,3,1,9,1,3,0.52,9,0.3,9,0.65,9,0.48,9,1
