property_id,title,monthly_int,link,address,agent_name,bed_number_smap,number_of_photos_overall_score,number_of_photos_overall_count,number_of_bedroom_photos_score,number_of_bedroom_photos_count,wide_lenses_score,wide_lenses_count,overprocessed_score,overprocessed_count,natural_light_score,natural_light_count,no_carpet_score,no_carpet_count,large_windows_score,large_windows_count,high_ceiling_score,high_ceiling_count,fireplace_score,fireplace_count,active
68285487,2 bed flat to rent,3142,https://www.zoopla.co.uk/to-rent/details/68285487/,"Charrington Tower, Canary Wharf, London E14",Foxtons - Canary Wharf,2,1,9,1,3,0.48,9,0.294,9,0.662,18,0.551,9,0.624,9,0.536,9,0.165,3,1
68285503,2 bed flat to rent,2817,https://www.zoopla.co.uk/to-rent/details/68285503/,"Philbeach Gardens, Earls Court, London SW5",Foxtons - Earls Court,2,1,7,1,2,0.51,7,0.285,7,0.837,14,0.439,7,0.746,6,0.572,6,0.22,2,1
68285509,1 bed flat to rent,1900,https://www.zoopla.co.uk/to-rent/details/68285509/,"Capitol Way, Colindale, London NW9",Foxtons - Temple Fortune,1,0,3,1,1,0.485,3,0.293,3,0.742,6,0.444,3,0.658,3,0.481,3,0.559,1,1
68285514,3 bed flat to rent,7778,https://www.zoopla.co.uk/to-rent/details/68285514/,"Merchant Square, Paddington, London W2",Jaffray Estates Ltd,3,1,7,1,3,0.564,8,0.294,8,0.609,16,0.656,8,0.659,7,0.485,7,0.424,2,1
68285516,2 bed flat to rent,3500,https://www.zoopla.co.uk/to-rent/details/68285516/,"Packington Square, Angel N1",Chestertons - Islington,2,1,11,1,2,0.515,11,0.186,11,0.65,22,0.334,11,0.654,11,0.483,11,0.198,3,1
68285517,3 bed flat to rent,2900,https://www.zoopla.co.uk/to-rent/details/68285517/,"Caldon Boulevard, London HA0",Celestial Globe,3,1,12,0,0,0.49,12,0.395,12,0.561,24,0.633,12,0.624,11,0.421,11,0.228,1,1
68285540,1 bed flat to rent,2167,https://www.zoopla.co.uk/to-rent/details/68285540/,"Gray's Inn Road, Zone 1 Bloomsbury, Holborn WC1X",Angelo Properties,1,1,10,1,1,0.455,10,0.207,10,0.651,20,0.761,10,0.537,10,0.483,10,0.326,1,1
68285557,1 bed flat to rent,1452,https://www.zoopla.co.uk/to-rent/details/68285557/,"Kilburn High Road, London NW6",Angelo Properties,1,1,8,1,2,0.479,8,0.443,8,0.702,16,0.603,8,0.431,8,0.457,8,-1.0,0,1
68285558,2 bed flat to rent,3500,https://www.zoopla.co.uk/to-rent/details/68285558/,"Salisbury House, Palmer Road, London SW11",London Capital Homes Limited,2,1,9,1,2,0.492,9,0.365,9,0.449,18,0.576,9,0.603,9,0.487,9,0.277,2,1
68285572,1 bed flat to rent,1343,https://www.zoopla.co.uk/to-rent/details/68285572/,"Burton Road, London NW6",Angelo Properties,1,1,14,1,2,0.448,14,0.302,14,0.684,28,0.84,14,0.487,13,0.458,13,0.229,2,1
68285576,2 bed flat to rent,4000,https://www.zoopla.co.uk/to-rent/details/68285576/,"Wards Place, London E14",Waterview - Shad Thames,2,1,8,1,2,0.521,8,0.499,8,0.736,16,0.482,8,0.783,6,0.457,6,0.09,2,1
68285583,2 bed flat to rent,19500,https://www.zoopla.co.uk/to-rent/details/68285583/,"Holland Park Villas, 6 Campden Hill, Kensington, London W8",Savills - Kensington Lettings,2,1,10,1,2,0.542,10,0.328,10,0.385,20,0.418,10,0.547,9,0.42,9,0.421,3,1
68285598,1 bed flat to rent,4800,https://www.zoopla.co.uk/to-rent/details/68285598/,"Baker Street, London NW1",Savills - St. John's Wood & Regents Park Lettings,1,1,10,1,3,0.486,10,0.364,10,0.513,20,0.582,10,0.607,10,0.484,10,0.377,4,1
68285604,2 bed flat to rent,3500,https://www.zoopla.co.uk/to-rent/details/68285604/,"Farley Court, Melbury Road W14",Chestertons - Kensington,2,1,10,1,3,0.478,10,0.203,10,0.774,20,0.572,10,0.672,10,0.458,10,0.442,4,1
68285607,1 bed flat to rent,3445,https://www.zoopla.co.uk/to-rent/details/68285607/,"Casson Square, Southbank, London SE1.",Knight Frank - Southbank Lettings,1,1,24,1,3,0.518,24,0.369,24,0.437,48,0.626,24,0.562,23,0.454,23,0.33,2,1
68285611,1 bed flat to rent,1835,https://www.zoopla.co.uk/to-rent/details/68285611/,"Viscount House, Regency Heights NW10",Una,1,0,4,1,1,0.473,4,0.212,4,0.589,8,0.509,4,0.545,4,0.519,4,0.22,2,1
68285615,2 bed flat to rent,12133,https://www.zoopla.co.uk/to-rent/details/68285615/,"Fulham Road, London SW6",The Spaces Collective London,2,1,23,1,8,0.462,25,0.322,25,0.656,50,0.398,25,0.547,17,0.485,17,0.408,6,1
68285662,2 bed flat to rent,1800,https://www.zoopla.co.uk/to-rent/details/68285662/,"Hendon Way, London NW2",Live London Estates,2,1,6,1,2,0.541,6,0.25,6,0.847,12,0.709,6,0.608,6,0.48,6,-1.0,0,1
68285673,2 bed flat to rent,2100,https://www.zoopla.co.uk/to-rent/details/68285673/,"Sandringham Court, Arragon Road, Twickenham TW1",Castor Bay Property Ltd,2,1,6,0,1,0.392,6,0.271,6,0.669,12,0.691,6,0.482,6,0.491,6,0.135,1,1
68285683,2 bed flat to rent,2300,https://www.zoopla.co.uk/to-rent/details/68285683/,"High Street, Hounslow TW3",Property Direct Eng Ltd,2,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
68285699,2 bed flat to rent,2167,https://www.zoopla.co.uk/to-rent/details/68285699/,"Railton Road, London SE24",Keating Estates - Balham,2,1,9,1,4,0.435,9,0.247,9,0.729,18,0.46,9,0.59,7,0.489,7,0.484,2,1
68285702,2 bed flat to rent,5373,https://www.zoopla.co.uk/to-rent/details/68285702/,"Rainville Road, London W6",Hunters - Tower Bridge,2,1,5,0,1,0.494,6,0.367,6,0.771,12,0.59,6,0.736,5,0.417,5,0.363,1,1
68285725,2 bed flat to rent,1700,https://www.zoopla.co.uk/to-rent/details/68285725/,"Dalkeith Road, Ilford IG1",eXp World UK,2,1,12,0,1,0.426,12,0.246,12,0.592,24,0.682,12,0.458,12,0.462,12,0.591,3,1
68285737,2 bed flat to rent,3497,https://www.zoopla.co.uk/to-rent/details/68285737/,"Marshall Street, London W1F",LDG,2,1,10,1,2,0.47,10,0.198,10,0.675,20,0.762,10,0.575,10,0.441,10,0.312,2,1
68285742,2 bed flat to rent,2700,https://www.zoopla.co.uk/to-rent/details/68285742/,"Pilgrim House, Mayflower Street, Bermondsey, London SE16",LRC - London Sales and Letting Agency,2,1,19,1,5,0.481,19,0.225,19,0.656,38,0.586,19,0.613,19,0.43,19,0.546,1,1
68285743,3 bed flat to rent,5499,https://www.zoopla.co.uk/to-rent/details/68285743/,"Marlbourough Court, Pembroke Road, Kensington, London W8",Alexander Lewis,3,1,6,1,3,0.562,6,0.519,6,0.75,12,0.292,6,0.634,6,0.466,6,0.49,2,1
68285787,2 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/68285787/,"Sky View Tower, 12 High Street, Stratford E15",LiFE Residential - Royal Wharf,2,1,11,1,3,0.519,11,0.293,11,0.518,22,0.534,11,0.62,9,0.451,9,0.303,2,1
68285809,2 bed flat to rent,1900,https://www.zoopla.co.uk/to-rent/details/68285809/,"High Road, London N22",Hemmingfords,2,1,8,0,0,0.404,8,0.342,8,0.65,16,0.854,8,0.509,8,0.497,8,0.129,3,1
68285811,2 bed flat to rent,2000,https://www.zoopla.co.uk/to-rent/details/68285811/,"2 Woolwich Church Street, Woolwich SE18",Hamptons - BTR London,2,1,14,0,1,0.502,14,0.354,14,0.587,28,0.689,14,0.589,14,0.397,14,0.098,1,1
68285830,2 bed flat to rent,6000,https://www.zoopla.co.uk/to-rent/details/68285830/,"St. Johns Wood Road, St John's Wood NW8",Chestertons - St John's Wood,2,1,10,1,4,0.502,10,0.309,10,0.572,20,0.332,10,0.695,9,0.458,9,0.396,2,1
68285857,2 bed flat to rent,3748,https://www.zoopla.co.uk/to-rent/details/68285857/,"Stepney Green, London E1",Hamptons - Canary Wharf Lettings,2,1,12,0,1,0.459,12,0.387,12,0.619,24,0.879,12,0.567,12,0.479,12,0.152,3,1
68285868,2 bed flat to rent,2550,https://www.zoopla.co.uk/to-rent/details/68285868/,"Cleveley Court, Marine Wharf, Surrey Quays, London SE16",LRC - London Sales and Letting Agency,2,1,12,1,3,0.453,12,0.369,12,0.519,24,0.523,12,0.533,11,0.491,11,0.124,2,1
68285873,2 bed flat to rent,3600,https://www.zoopla.co.uk/to-rent/details/68285873/,"Tower West, Pan Peninsula, Canary Wharf, London E14",LRC - London Sales and Letting Agency,2,1,14,0,0,0.521,14,0.334,14,0.532,28,0.525,14,0.676,14,0.449,14,0.483,1,1
68285884,2 bed maisonette to rent,2500,https://www.zoopla.co.uk/to-rent/details/68285884/,"125 Mansford Street, Bethnal Green, London E2",Dimension Estates London Ltd,2,1,8,0,1,0.512,8,0.676,8,0.827,16,0.402,8,0.696,5,0.398,5,0.366,2,1
68285888,2 bed flat to rent,3000,https://www.zoopla.co.uk/to-rent/details/68285888/,"Dolphin House, Lensbury Avenue, Chelsea, London SW6",PMP International,2,1,7,1,2,0.516,7,0.195,7,0.598,14,0.648,7,0.604,6,0.477,6,0.413,1,1
68285910,2 bed terraced house to rent,2500,https://www.zoopla.co.uk/to-rent/details/68285910/,"Rushett Close, Thames Ditton, Surrey KT7",Curchods - Esher,2,1,10,1,2,0.48,11,0.198,11,0.813,22,0.375,11,0.596,9,0.452,9,0.451,5,1
68285931,3 bed flat to rent,2500,https://www.zoopla.co.uk/to-rent/details/68285931/,"Malmsmead House, Homerton Road, Hackney E9",Route Estates,3,0,3,0,1,0.546,3,0.239,3,0.914,6,0.668,3,0.692,3,0.551,3,0.42,1,1
68286063,3 bed flat to rent,3250,https://www.zoopla.co.uk/to-rent/details/68286063/,"Glenroy Street, London W12",Dexters - Shepherds Bush,3,1,5,1,3,0.525,5,0.397,5,0.617,10,0.452,5,0.627,5,0.5,5,0.362,1,1
68286126,3 bed flat to rent,4000,https://www.zoopla.co.uk/to-rent/details/68286126/,"Marner Point, 1 Jefferson Plaza E3",Hastings International - Rotherhithe,3,0,0,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,1
68286267,2 bed flat to rent,4500,https://www.zoopla.co.uk/to-rent/details/68286267/,"Gainsborough Studios, Islington, London N1",Foxtons - Islington,2,1,7,1,2,0.499,7,0.264,7,0.702,14,0.509,7,0.604,7,0.432,7,-1.0,0,1
